Me	me	PP1CS000
el	el	DA0MS0
desarrollo	desarrollo	NCMS000
de	de	SPS00
la	el	DA0FS0
Unión_Europea	unión_europea	NP00O00
cobra	cobrar	VMIP3S0
una	uno	DI0FS0
importancia	importancia	NCFS000
creciente	creciente	AQ0CS0
para	para	SPS00
nuestro	nuestro	DP1MSP
país	país	NCMS000
.	.	Fp
Este	este	DD0MS0
año	año	NCMS000
,	,	Fc
en	en	SPS00
que	que	CS
España	españa	NP00O00
ha	haber	VAIP3S0
demostrado	demostrar	VMP00SM
por	por	SPS00
tercera	3	AO0FS0
vez	vez	NCFS000
su	su	DP3CS0
capacidad	capacidad	NCFS000
y	y	CC
buen	bueno	AQ0MS0
hacer	hacer	VMN0000
a_el_frente_de	al_frente_de	SPS00
la	el	DA0FS0
Presidencia_de_la_Unión_Europea	presidencia_de_la_unión_europea	NP00O00
,	,	Fc
el	el	DA0MS0
proceso	proceso	NCMS000
de	de	SPS00
integración	integración	NCFS000
ha	haber	VAIP3S0
cubierto	cubrir	VMP00SM
nuevos	nuevo	AQ0MP0
jalones	jalón	NCMP000
importantes	importante	AQ0CP0
.	.	Fp
Me	me	PP1CS000
refiero	referir	VMIP1S0
,	,	Fc
en	en	SPS00
particular	particular	AQ0CS0
,	,	Fc
a	a	SPS00
la	el	DA0FS0
puesta	puesta	NCFS000
en	en	SPS00
circulación	circulación	NCFS000
de	de	SPS00
el	el	DA0MS0
Euro	euro	NCMS000
y	y	CC
a	a	SPS00
la	el	DA0FS0
muy	muy	RG
reciente	reciente	AQ0CS0
decisión	decisión	NCFS000
histórica	histórico	AQ0FS0
de	de	SPS00
ampliar	ampliar	VMN0000
sustancialmente	sustancialmente	RG
la	el	DA0FS0
Unión_Europea	unión_europea	NP00O00
a	a	SPS00
nuevos	nuevo	AQ0MP0
Estados	estados	NP00O00
.	.	Fp
Se	se	P00CN000
trata	tratar	VMIP3S0
de	de	SPS00
un	uno	DI0MS0
paso	paso	NCMS000
decisivo	decisivo	AQ0MS0
para	para	SPS00
la	el	DA0FS0
reunificación	reunificación	NCFS000
de	de	SPS00
nuestro	nuestro	DP1MSP
Continente	continente	NP00O00
,	,	Fc
de	de	SPS00
notables	notable	AQ0CP0
efectos	efecto	NCMP000
para	para	SPS00
nuestro	nuestro	DP1MSP
futuro	futuro	NCMS000
.	.	Fp
Con	con	SPS00
la	el	DA0FS0
extensión	extensión	NCFS000
y	y	CC
profundización	profundización	NCFS000
de	de	SPS00
la	el	DA0FS0
construcción	construcción	NCFS000
europea	europeo	AQ0FS0
se	se	P00CN000
plantean	plantear	VMIP3P0
nuevos	nuevo	AQ0MP0
retos	reto	NCMP000
y	y	CC
se	se	P00CN000
abren	abrir	VMIP3P0
importantes	importante	AQ0CP0
oportunidades	oportunidad	NCFP000
que	que	PR0CN000
,	,	Fc
sin	sin	SPS00
duda	duda	NCFS000
,	,	Fc
sabremos	saber	VMIF1P0
aprovechar	aprovechar	VMN0000
con	con	SPS00
el	el	DA0MS0
pleno	pleno	AQ0MS0
respaldo	respaldo	NCMS000
de	de	SPS00
todas	todo	DI0FP0
las	el	DA0FP0
instituciones	institución	NCFP000
políticas	político	AQ0FP0
.	.	Fp
A	a	SPS00
el	el	DA0MS0
concluir	concluir	VMN0000
este	este	DD0MS0
año	año	NCMS000
,	,	Fc
quiero	querer	VMIP1S0
reiterar	reiterar	VMN0000
os	os	PP2CP000
que	que	CS
la	el	DA0FS0
Corona	corona	NP00O00
seguirá	seguir	VMIF3S0
trabajando	trabajar	VMG0000
con	con	SPS00
todo	todo	DI0MS0
su	su	DP3CS0
empeño	empeño	NCMS000
para	para	SPS00
aunar	aunar	VMN0000
y	y	CC
aglutinar	aglutinar	VMN0000
esfuerzos	esfuerzo	NCMP000
en	en	SPS00
beneficio	beneficio	NCMS000
de	de	SPS00
todos	todo	DI0MP0
los	el	DA0MP0
españoles	español	NCMP000
.	.	Fp
La	el	DA0FS0
Corona	corona	NP00O00
confía	confiar	VMIP3S0
plenamente	plenamente	RG
en	en	SPS00
el	el	DA0MS0
gran	gran	AQ0CS0
potencial	potencial	NCMS000
de	de	SPS00
España	españa	NP00G00
y	y	CC
de	de	SPS00
todos	todo	PI0MP000
y	y	CC
cada	cada	DI0CS0
uno	uno	PI0MS000
de	de	SPS00
sus	su	DP3CP0
ciudadanos	ciudadano	NCMP000
.	.	Fp
A	a	SPS00
todos	todo	DI0MP0
los	el	DA0MP0
españoles	español	NCMP000
,	,	Fc
con	con	SPS00
especial	especial	AQ0CS0
afecto	afecto	NCMS000
a	a	SPS00
los	el	DA0MP0
que	que	PR0CN000
os	os	PP2CP000
encontráis	encontrar	VMIP2P0
fuera_de	fuera_de	SPS00
nuestras	nuestro	DP1FPP
fronteras	frontera	NCFP000
,	,	Fc
y	y	CC
a	a	SPS00
todos	todo	DI0MP0
los	el	DA0MP0
extranjeros	extranjero	AQ0MP0
residentes	residente	NCCP000
en	en	SPS00
España	españa	NP00G00
,	,	Fc
Feliz_Navidad	feliz_navidad	NP00SP0
,	,	Fc
paz	paz	NCFS000
y	y	CC
bienestar	bienestar	NCMS000
para	para	SPS00
el	el	DA0MS0
año	año	NCMS000
próximo	próximo	AQ0MS0
.	.	Fp
Buenas	bueno	AQ0FP0
noches	noche	NCFP000
.	.	Fp
