Buenas	bueno	AQ0FP0
justicia	justicia	NCFS000
de	de	SPS00
el	el	DA0MS0
mundo	mundo	NCMS000
moderno	moderno	AQ0MS0
:	:	Fd
la	el	DA0FS0
libertad	libertad	NCFS000
,	,	Fc
la	el	DA0FS0
igualdad	igualdad	NCFS000
y	y	CC
la	el	DA0FS0
solidaridad	solidaridad	NCFS000
,	,	Fc
están	estar	VAIP3P0
recogidos	recoger	VMP00PM
en	en	SPS00
nuestra	nuestro	DP1FSP
Constitución	constitución	NP00V00
,	,	Fc
norma	norma	NCFS000
básica	básico	AQ0FS0
de	de	SPS00
el	el	DA0MS0
juego	juego	NCMS000
limpio	limpio	AQ0MS0
de	de	SPS00
nuestra	nuestro	DP1FSP
convivencia	convivencia	NCFS000
en	en	SPS00
paz	paz	NCFS000
.	.	Fp
La	el	DA0FS0
ley	ley	NCFS000
es	ser	VSIP3S0
igual	igual	AQ0CS0
para	para	SPS00
todos	todo	PI0MP000
,	,	Fc
hombres	hombre	NCMP000
y	y	CC
mujeres	mujer	NCFP000
,	,	Fc
tanto	tanto	RG
si	si	CS
ejercen	ejercer	VMIP3P0
actividades	actividad	NCFP000
privadas	privar	VMP00PF
como	como	CS
públicas	público	AQ0FP0
.	.	Fp
Pero	pero	CC
existen	existir	VMIP3P0
unos	uno	DI0MP0
deberes	deber	NCMP000
inexcusables	inexcusable	AQ0CP0
de	de	SPS00
ejemplaridad	ejemplaridad	NCFS000
para	para	SPS00
quienes	quien	PR0CP000
tienen	tener	VMIP3P0
responsabilidades	responsabilidad	NCFP000
públicas	público	AQ0FP0
.	.	Fp
Estas	este	PD0FP000
explican	explicar	VMIP3P0
que	que	CS
determinados	determinar	VMP00PM
comportamientos	comportamiento	NCMP000
de	de	SPS00
corrupción	corrupción	NCFS000
hayan	haber	VASP3P0
levantado	levantar	VMP00SM
sentimientos	sentimiento	NCMP000
de	de	SPS00
justa	justo	AQ0FS0
inquietud	inquietud	NCFS000
e	y	CC
indignación	indignación	NCFS000
porque	porque	CS
con	con	SPS00
el	el	DA0MS0
mal	mal	NCMS000
ejemplo	ejemplo	NCMS000
que	que	PR0CN000
suponen	suponer	VMIP3P0
,	,	Fc
erosionan	erosionar	VMIP3P0
la	el	DA0FS0
convivencia	convivencia	NCFS000
y	y	CC
relativizan	relativizar	VMIP3P0
el	el	DA0MS0
valor	valor	NCMS000
moral	moral	AQ0CS0
de	de	SPS00
la	el	DA0FS0
democracia	democracia	NCFS000
.	.	Fp
Debemos	deber	VMIP1P0
seguir	seguir	VMN0000
corrigiendo	corregir	VMG0000
con	con	SPS00
firmeza	firmeza	NCFS000
los	el	DA0MP0
abusos	abuso	NCMP000
que	que	PR0CN000
se	se	P00CN000
han	haber	VAIP3P0
cometido	cometer	VMP00SM
,	,	Fc
pero	pero	CC
tenemos	tener	VMIP1P0
también	también	RG
que	que	CS
reflexionar	reflexionar	VMN0000
sobre	sobre	SPS00
sus	su	DP3CP0
causas	causa	NCFP000
y	y	CC
circunstancias	circunstancia	NCFP000
para	para	SPS00
conseguir	conseguir	VMN0000
erradicar	erradicar	VMN0000
los	lo	PP3MPA00
.	.	Fp
Es	ser	VSIP3S0
conveniente	conveniente	AQ0CS0
que	que	CS
esa	ese	DD0FS0
reflexión	reflexión	NCFS000
la	lo	PP3FSA00
hagamos	hacer	VMSP1P0
en_todo_caso	en_todo_caso	RG
desde	desde	SPS00
una	uno	DI0FS0
óptica	óptica	NCFS000
serena	sereno	AQ0FS0
,	,	Fc
sin	sin	SPS00
caer	caer	VMN0000
en	en	SPS00
generalizaciones	generalización	NCFP000
ni	ni	CC
simplificaciones	simplificación	NCFP000
,	,	Fc
y	y	CC
en	en	SPS00
el	el	DA0MS0
respeto	respeto	NCMS000
y	y	CC
el	el	DA0MS0
aprecio	aprecio	NCMS000
por	por	SPS00
quienes	quien	PR0CP000
,	,	Fc
en	en	SPS00
su	su	DP3CS0
mayoría	mayoría	NCFS000
,	,	Fc
desempeñan	desempeñar	VMIP3P0
de	de	SPS00
manera	manera	NCFS000
honesta	honesto	AQ0FS0
y	y	CC
desinteresada	desinteresar	VMP00SF
tareas	tarea	NCFP000
de	de	SPS00
servicio	servicio	NCMS000
a	a	SPS00
los	el	DA0MP0
ciudadanos	ciudadano	NCMP000
y	y	CC
a	a	SPS00
el	el	DA0MS0
Estado	estado	NP00O00
en	en	SPS00
el	el	DA0MS0
ejercicio	ejercicio	NCMS000
de	de	SPS00
su	su	DP3CS0
vocación	vocación	NCFS000
pública	público	AQ0FS0
.	.	Fp
Desde	desde	SPS00
esa	ese	DD0FS0
permanente	permanente	AQ0CS0
referencia	referencia	NCFS000
ética	ético	AQ0FS0
que	que	PR0CN000
debe	deber	VMIP3S0
presidir	presidir	VMN0000
nuestras	nuestro	DP1FPP
vidas	vida	NCFP000
,	,	Fc
podemos	poder	VMIP1P0
y	y	CC
debemos	deber	VMIP1P0
ser	ser	VSN0000
mucho	mucho	RG
más	más	RG
exigentes	exigente	AQ0CP0
,	,	Fc
tanto	tanto	RG
en	en	SPS00
el	el	DA0MS0
disfrute	disfrute	NCMS000
de	de	SPS00
nuestros	nuestro	DP1MPP
derechos	derecho	NCMP000
,	,	Fc
como	como	CS
en	en	SPS00
el	el	DA0MS0
cumplimiento	cumplimiento	NCMS000
de	de	SPS00
nuestros	nuestro	DP1MPP
deberes	deber	NCMP000
individuales	individual	AQ0CP0
y	y	CC
de	de	SPS00
nuestras	nuestro	DP1FPP
obligaciones	obligación	NCFP000
sociales	social	AQ0CP0
.	.	Fp
El	el	DA0MS0
riguroso	riguroso	AQ0MS0
acatamiento	acatamiento	NCMS000
de	de	SPS00
las	el	DA0FP0
leyes	ley	NCFP000
,	,	Fc
el	el	DA0MS0
recto	recto	AQ0MS0
proceder	proceder	NCMS000
y	y	CC
el	el	DA0MS0
cultivo	cultivo	NCMS000
de	de	SPS00
ideales	ideal	NCMP000
de	de	SPS00
servicio	servicio	NCMS000
y	y	CC
respeto	respeto	NCMS000
a	a	SPS00
los	el	DA0MP0
demás	demás	PI0CP000
,	,	Fc
son	ser	VSIP3P0
valores	valor	NCMP000
que	que	PR0CN000
todos	todo	PI0MP000
,	,	Fc
cualquiera	cualquiera	PI0CS000
que	que	PR0CN000
sea	ser	VSSP1S0
nuestra	nuestro	DP1FSP
condición	condición	NCFS000
o	o	CC
circunstancia	circunstancia	NCFS000
,	,	Fc
debemos	deber	VMIP1P0
exigir	exigir	VMN0000
y	y	CC
debemos	deber	VMIP1P0
practicar	practicar	VMN0000
.	.	Fp
El	el	DA0MS0
carácter	carácter	NCMS000
plural	plural	AQ0CS0
de	de	SPS00
España	españa	NP00G00
pone_de_manifiesto	poner_de_manifiesto	VMIP3S0
en	en	SPS00
ocasiones	ocasión	NCFP000
diferencias	diferencia	NCFP000
que	que	PR0CN000
tienden	tender	VMIP3P0
a	a	SPS00
generar	generar	VMN0000
tensiones	tensión	NCFP000
en	en	SPS00
nuestra	nuestro	DP1FSP
vida	vida	NCFS000
colectiva	colectivo	AQ0FS0
.	.	Fp
Como	como	CS
tantas	tanto	DI0FP0
veces	vez	NCFP000
antes	antes	RG
he	haber	VAIP1S0
hecho	hacer	VMP00SM
,	,	Fc
quisiera	querer	VMSI3S0
hoy	hoy	RG
reiterar	reiterar	VMN0000
lo	el	DA0NS0
que	que	PR0CN000
resulta	resultar	VMIP3S0
evidente	evidente	AQ0CS0
:	:	Fd
que	que	CS
son	ser	VSIP3P0
muchas	mucho	PI0FP000
más	más	RG
las	el	DA0FP0
cosas	cosa	NCFP000
que	que	PR0CN000
nos	nos	PP1CP000
unen	unir	VMIP3P0
que	que	CS
las	el	DA0FP0
que	que	PR0CN000
nos	nos	PP1CP000
separan	separar	VMIP3P0
.	.	Fp
Podemos	poder	VMIP1P0
y	y	CC
debemos	deber	VMIP1P0
resolver	resolver	VMN0000
estas	este	DD0FP0
diferencias	diferencia	NCFP000
buscando	buscar	VMG0000
la	el	DA0FS0
armonía	armonía	NCFS000
,	,	Fc
la	el	DA0FS0
cohesión	cohesión	NCFS000
y	y	CC
el	el	DA0MS0
interés	interés	NCMS000
colectivo	colectivo	AQ0MS0
.	.	Fp
Tenemos	tener	VMIP1P0
motivos	motivo	NCMP000
más	más	RG
que	que	CS
sobrados	sobrar	VMP00PM
para	para	SPS00
sentir	sentir	VMN0000
nos	nos	PP1CP000
orgullosos	orgulloso	NCMP000
de	de	SPS00
lo	el	DA0NS0
que	que	PR0CN000
hemos	haber	VAIP1P0
logrado	lograr	VMP00SM
juntos	junto	AQ0MP0
a	a	SPS00
lo	el	DA0NS0
largo	largo	AQ0MS0
de	de	SPS00
la	el	DA0FS0
historia	historia	NCFS000
y	y	CC
en	en	SPS00
el	el	DA0MS0
momento	momento	NCMS000
presente	presente	AQ0CS0
,	,	Fc
gracias_a	gracias_a	SPS00
el	el	DA0MS0
esfuerzo	esfuerzo	NCMS000
de	de	SPS00
cada	cada	DI0CS0
uno	uno	PI0MS000
de	de	SPS00
nosotros	nosotros	PP1MP000
y	y	CC
de	de	SPS00
todos	todo	PI0MP000
como	como	CS
pueblo	pueblo	NCMS000
.	.	Fp
Mi	mi	DP1CSS
confianza	confianza	NCFS000
en	en	SPS00
España	españa	NP00G00
es	ser	VSIP3S0
inconmovible	inconmovible	AQ0CS0
y	y	CC
mi	mi	DP1CSS
esperanza	esperanza	NCFS000
en	en	SPS00
su	su	DP3CS0
futuro	futuro	NCMS000
,	,	Fc
grande	grande	AQ0CS0
.	.	Fp
Deseo	desear	VMIP1S0
animar	animar	VMN0000
os	os	PP2CP000
a	a	SPS00
que	que	CS
compartáis	compartir	VMSP2P0
conmigo	conmigo	PP1CSO00
esa	ese	DD0FS0
confianza	confianza	NCFS000
y	y	CC
esa	ese	DD0FS0
esperanza	esperanza	NCFS000
que	que	PR0CN000
deben	deber	VMIP3P0
presidir	presidir	VMN0000
nuestro	nuestro	DP1MSP
caminar	caminar	VMN0000
colectivo	colectivo	AQ0MS0
.	.	Fp
En	en	SPS00
esta	este	DD0FS0
noche	noche	NCFS000
quisiera	querer	VMSI3S0
enviar	enviar	VMN0000
mi	mi	DP1CSS
recuerdo	recuerdo	NCMS000
a	a	SPS00
nuestros	nuestro	DP1MPP
compatriotas	compatriota	NCCP000
que	que	PR0CN000
,	,	Fc
en	en	SPS00
el	el	DA0MS0
territorio	territorio	NCMS000
de	de	SPS00
la	el	DA0FS0
antigua	antiguo	AQ0FS0
Yugoslavia	yugoslavia	NP00O00
,	,	Fc
están	estar	VAIP3P0
llevando_a_cabo	llevar_a_cabo	VMG0000
acciones	acción	NCFP000
de	de	SPS00
paz	paz	NCFS000
,	,	Fc
en	en	SPS00
circunstancias	circunstancia	NCFP000
particularmente	particularmente	RG
difíciles	difícil	AQ0CP0
,	,	Fc
y	y	CC
a	a	SPS00
los	el	DA0MP0
que	que	PR0CN000
se	se	P00CN000
encuentran	encontrar	VMIP3P0
prestando	prestar	VMG0000
su	su	DP3CS0
ayuda	ayuda	NCFS000
generosa	generoso	AQ0FS0
en	en	SPS00
países	país	NCMP000
de	de	SPS00
el	el	DA0MS0
Tercer_Mundo	tercer_mundo	NP00V00
.	.	Fp
Todos	todo	PI0MP000
ellos	ellos	PP3MP000
están	estar	VAIP3P0
encarnando	encarnar	VMG0000
el	el	DA0MS0
mejor	mejor	AQ0CS0
espíritu	espíritu	NCMS000
de	de	SPS00
esta	este	DD0FS0
navidad	navidad	NCFS000
y	y	CC
nos	nos	PP1CP000
dan	dar	VMIP3P0
un	uno	DI0MS0
ejemplo	ejemplo	NCMS000
que	que	PR0CN000
nos	nos	PP1CP000
llena	llenar	VMIP3S0
de	de	SPS00
orgullo	orgullo	NCMS000
.	.	Fp
También	también	RG
,	,	Fc
deseo	desear	VMIP1S0
saludar	saludar	VMN0000
con	con	SPS00
afecto	afecto	NCMS000
a	a	SPS00
los	el	DA0MP0
españoles	español	NCMP000
que	que	PR0CN000
viven	vivir	VMIP3P0
fuera_de	fuera_de	SPS00
España	españa	NP00G00
y	y	CC
a	a	SPS00
los	el	DA0MP0
pueblos	pueblo	NCMP000
amigos	amigo	NCMP000
de	de	SPS00
Iberoamérica	iberoamérica	NP00G00
y	y	CC
de	de	SPS00
los	el	DA0MP0
países	país	NCMP000
árabes	árabe	AQ0CP0
.	.	Fp
A	a	SPS00
todos	todo	DI0MP0
vosotros	vosotros	PP2MP000
,	,	Fc
os	os	PP2CP000
reitero	reiterar	VMIP1S0
mi	mi	DP1CSS
felicitación	felicitación	NCFS000
pidiendo	pedir	VMG0000
a	a	SPS00
Dios	dios	NP00SP0
que	que	CS
nos	nos	PP1CP000
proteja	proteger	VMSP3S0
y	y	CC
nos	nos	PP1CP000
ayude	ayudar	VMSP1S0
.	.	Fp
Felices	feliz	AQ0CP0
pascuas	pascua	NCFP000
.	.	Fp
