Me	me	PP1CS000
exterior	exterior	AQ0CS0
resulta	resultar	VMIP3S0
implacable	implacable	AQ0CS0
.	.	Fp
De	de	SPS00
la	el	DA0FS0
calidad	calidad	NCFS000
educativa	educativo	AQ0FS0
y	y	CC
de	de	SPS00
el	el	DA0MS0
progreso	progreso	NCMS000
tecnológico	tecnológico	AQ0MS0
depende	depender	VMIP3S0
en_gran_medida	en_gran_medida	RG
que	que	CS
España	españa	NP00O00
pueda	poder	VMSP1S0
mantener	mantener	VMN0000
y	y	CC
acrecentar	acrecentar	VMN0000
sus	su	DP3CP0
niveles	nivel	NCMP000
de	de	SPS00
progreso	progreso	NCMS000
y	y	CC
bienestar	bienestar	NCMS000
.	.	Fp
Para	para	SPS00
ello	ello	PD0NS000
,	,	Fc
sólo	sólo	RG
hay	haber	VMIP3S0
una	uno	DI0FS0
receta	receta	NCFS000
:	:	Fd
más	más	RG
y	y	CC
mejor	mejor	AQ0CS0
educación	educación	NCFS000
,	,	Fc
más	más	RG
y	y	CC
mejor	mejor	AQ0CS0
innovación	innovación	NCFS000
.	.	Fp
Con	con	SPS00
motivo	motivo	NCMS000
de	de	SPS00
el	el	DA0MS0
Treinta_Aniversario	treinta_aniversario	NP00V00
de	de	SPS00
mi	mi	DP1CSS
proclamación	proclamación	NCFS000
como	como	CS
Rey	rey	NP00SP0
,	,	Fc
han	haber	VAIP3P0
dominado	dominar	VMP00SM
en	en	SPS00
mí	mí	PP1CSO00
sentimientos	sentimiento	NCMP000
de	de	SPS00
satisfacción	satisfacción	NCFS000
por	por	SPS00
lo	el	DA0NS0
mucho	mucho	RG
que	que	PR0CN000
ha	haber	VAIP3S0
cambiado	cambiar	VMP00SM
España	españa	NP00G00
,	,	Fc
de	de	SPS00
admiración	admiración	NCFS000
y	y	CC
gratitud	gratitud	NCFS000
a	a	SPS00
los	el	DA0MP0
españoles	español	NCMP000
por	por	SPS00
su	su	DP3CS0
continuado	continuar	VMP00SM
esfuerzo	esfuerzo	NCMS000
,	,	Fc
por	por	SPS00
su	su	DP3CS0
generosidad	generosidad	NCFS000
y	y	CC
solidaridad	solidaridad	NCFS000
;	;	Fx
también	también	RG
sentimientos	sentimiento	NCMP000
de	de	SPS00
fe	fe	NCFS000
en	en	SPS00
el	el	DA0MS0
futuro	futuro	NCMS000
,	,	Fc
de	de	SPS00
rotunda	rotundo	AQ0FS0
convicción	convicción	NCFS000
de	de	SPS00
que	que	CS
,	,	Fc
si	si	CS
juntos	junto	AQ0MP0
hemos	haber	VAIP1P0
llegado	llegar	VMP00SM
hasta	hasta	SPS00
aquí	aquí	RG
,	,	Fc
es	ser	VSIP3S0
todavía	todavía	RG
mucho	mucho	RG
más	más	RG
lo	el	DA0NS0
que	que	PR0CN000
unidos	unir	VMP00PM
podremos	poder	VMIF1P0
seguir	seguir	VMN0000
alcanzando	alcanzar	VMG0000
.	.	Fp
A	a	SPS00
lo	lo	PP3CNA00
largo	largo	AQ0MS0
de	de	SPS00
estos	este	DD0MP0
años	año	NCMP000
he	haber	VAIP1S0
tenido	tener	VMP00SM
la	el	DA0FS0
grata	grato	AQ0FS0
ocasión	ocasión	NCFS000
de	de	SPS00
hablar	hablar	VMN0000
con	con	SPS00
españoles	español	NCMP000
de	de	SPS00
todas	todo	DI0FP0
partes	parte	NCFP000
,	,	Fc
de	de	SPS00
muy	muy	RG
distintas	distinto	AQ0FP0
edades	edad	NCFP000
,	,	Fc
ideas	idea	NCFP000
y	y	CC
ocupaciones	ocupación	NCFP000
,	,	Fc
lo	el	DA0NS0
que	que	PR0CN000
me	me	PP1CS000
ha	haber	VAIP3S0
permitido	permitir	VMP00SM
conocer	conocer	VMN0000
de	de	SPS00
cerca	cerca	RG
las	el	DA0FP0
alegrías	alegría	NCFP000
,	,	Fc
anhelos	anhelo	NCMP000
y	y	CC
preocupaciones	preocupación	NCFP000
de	de	SPS00
muchísimas	mucho	DI0FP0
personas	persona	NCFP000
,	,	Fc
trabajadoras	trabajador	AQ0FP0
y	y	CC
honestas	honesto	AQ0FP0
,	,	Fc
fieles	fiel	AQ0CP0
a	a	SPS00
sí	sí	PP3CNO00
mismas	mismo	AQ0FP0
,	,	Fc
a	a	SPS00
quienes	quien	PR0CP000
agradezco	agradecer	VMIP1S0
su	su	DP3CS0
labor	labor	NCFS000
.	.	Fp
Tengo	tener	VMIP1S0
plena	pleno	AQ0FS0
confianza	confianza	NCFS000
en	en	SPS00
España	españa	NP00G00
y	y	CC
en	en	SPS00
los	el	DA0MP0
españoles	español	NCMP000
.	.	Fp
Siempre	siempre	RG
podréis	poder	VMIF2P0
contar	contar	VMN0000
con	con	SPS00
mi	mi	DP1CSS
entrega	entrega	NCFS000
ilusionada	ilusionar	VMP00SF
y	y	CC
mi	mi	DP1CSS
permanente	permanente	AQ0CS0
voluntad	voluntad	NCFS000
de	de	SPS00
servicio	servicio	NCMS000
,	,	Fc
con	con	SPS00
mi	mi	DP1CSS
empeño	empeño	NCMS000
por	por	SPS00
sumar	sumar	VMN0000
esfuerzos	esfuerzo	NCMP000
para	para	SPS00
afrontar	afrontar	VMN0000
nuevos	nuevo	AQ0MP0
retos	reto	NCMP000
y	y	CC
objetivos	objetivo	NCMP000
,	,	Fc
y	y	CC
con	con	SPS00
mi	mi	DP1CSS
más	más	RG
firme	firme	AQ0CS0
compromiso	compromiso	NCMS000
y	y	CC
el	el	DA0MS0
de	de	SPS00
el	el	DA0MS0
Príncipe_de_Asturias	príncipe_de_asturias	NP00O00
con	con	SPS00
el	el	DA0MS0
futuro	futuro	NCMS000
de	de	SPS00
España	españa	NP00G00
.	.	Fp
Para	para	SPS00
la	el	DA0FS0
Corona	corona	NP00O00
,	,	Fc
el	el	DA0MS0
año	año	NCMS000
concluye	concluir	VMIP3S0
con	con	SPS00
el	el	DA0MS0
muy	muy	RG
feliz	feliz	AQ0CS0
nacimiento	nacimiento	NCMS000
de	de	SPS00
la	el	DA0FS0
Infanta_Leonor	infanta_leonor	NP00O00
,	,	Fc
que	que	PR0CN000
amplía	ampliar	VMIP3S0
y	y	CC
garantiza	garantizar	VMIP3S0
la	el	DA0FS0
continuidad	continuidad	NCFS000
en	en	SPS00
la	el	DA0FS0
sucesión	sucesión	NCFS000
.	.	Fp
Para	para	SPS00
terminar	terminar	VMN0000
,	,	Fc
quiero	querer	VMIP1S0
reiterar	reiterar	VMN0000
la	el	DA0FS0
permanente	permanente	AQ0CS0
necesidad	necesidad	NCFS000
de	de	SPS00
actuar	actuar	VMN0000
con	con	SPS00
grandeza	grandeza	NCFS000
de	de	SPS00
miras	mira	NCFP000
para	para	SPS00
seguir	seguir	VMN0000
haciendo	hacer	VMG0000
de	de	SPS00
España	españa	NP00G00
un	uno	DI0MS0
país	país	NCMS000
cada	cada	DI0CS0
vez	vez	NCFS000
más	más	RG
moderno	moderno	AQ0MS0
,	,	Fc
unido	unir	VMP00SM
,	,	Fc
justo	justo	AQ0MS0
y	y	CC
solidario	solidario	AQ0MS0
,	,	Fc
preparado	preparar	VMP00SM
para	para	SPS00
alcanzar	alcanzar	VMN0000
nuevos	nuevo	AQ0MP0
éxitos	éxito	NCMP000
.	.	Fp
Os	os	PP2CP000
animo	animar	VMIP1S0
a	a	SPS00
trabajar	trabajar	VMN0000
con	con	SPS00
ese	ese	DD0MS0
espíritu	espíritu	NCMS000
y	y	CC
con	con	SPS00
ese	ese	DD0MS0
horizonte	horizonte	NCMS000
,	,	Fc
contribuyendo	contribuir	VMG0000
,	,	Fc
día	día	NCMS000
a	a	SPS00
día	día	NCMS000
,	,	Fc
a	a	SPS00
el	el	DA0MS0
desarrollo	desarrollo	NCMS000
de	de	SPS00
vuestros	vuestro	DP2MPP
pueblos	pueblo	NCMP000
y	y	CC
ciudades	ciudad	NCFP000
,	,	Fc
de	de	SPS00
vuestras	vuestro	DP2FPP
Comunidades_Autónomas	comunidades_autónomas	NP00O00
y	y	CC
,	,	Fc
en	en	SPS00
suma	suma	NCFS000
,	,	Fc
de	de	SPS00
el	el	DA0MS0
conjunto	conjunto	NCMS000
de	de	SPS00
España	españa	NP00G00
.	.	Fp
Eso	ese	PD0NS000
y	y	CC
mucho	mucho	DI0MS0
más	más	RG
es	ser	VSIP3S0
lo	lo	PP3CNA00
que	que	PR0CN000
merece	merecer	VMIP3S0
España	españa	NP00G00
,	,	Fc
y	y	CC
merecéis	merecer	VMIP2P0
todos	todo	PI0MP000
y	y	CC
cada	cada	DI0CS0
uno	uno	PI0MS000
de	de	SPS00
los	el	DA0MP0
españoles	español	NCMP000
.	.	Fp
A	a	SPS00
todos	todo	PI0MP000
dirijo	dirigir	VMIP1S0
un	uno	DI0MS0
abrazo	abrazo	NCMS000
cargado	cargar	VMP00SM
de	de	SPS00
profundo	profundo	AQ0MS0
afecto	afecto	NCMS000
,	,	Fc
con	con	SPS00
mis	mi	DP1CPS
mejores	mejor	AQ0CP0
deseos	deseo	NCMP000
de	de	SPS00
paz	paz	NCFS000
,	,	Fc
felicidad	felicidad	NCFS000
y	y	CC
prosperidad	prosperidad	NCFS000
para	para	SPS00
estas	este	DD0FP0
Fiestas	fiestas	NP00O00
y	y	CC
el	el	DA0MS0
Nuevo_Año_2006	nuevo_año_2006	NP00V00
.	.	Fp
Unos	uno	DI0MP0
deseos	deseo	NCMP000
que	que	PR0CN000
hago	hacer	VMIP1S0
extensivos	extensivo	AQ0MP0
a	a	SPS00
cuantos	cuanto	DI0MP0
españoles	español	NCMP000
viven	vivir	VMIP3P0
,	,	Fc
trabajan	trabajar	VMIP3P0
o	o	CC
prestan	prestar	VMIP3P0
servicio	servicio	NCMS000
fuera_de	fuera_de	SPS00
nuestras	nuestro	DP1FPP
fronteras	frontera	NCFP000
,	,	Fc
así_como	así_como	CC
a	a	SPS00
los	el	DA0MP0
numerosos	numeroso	AQ0MP0
extranjeros	extranjero	NCMP000
que	que	PR0CN000
han	haber	VAIP3P0
escogido	escoger	VMP00SM
a	a	SPS00
España	españa	NP00G00
como	como	CS
hogar	hogar	NCMS000
y	y	CC
contribuyen	contribuir	VMIP3P0
a	a	SPS00
nuestro	nuestro	DP1MSP
desarrollo	desarrollo	NCMS000
.	.	Fp
Buenas	bueno	AQ0FP0
noches	noche	NCFP000
.	.	Fp
